数据来源,关键词,岗位名称,薪资,城市,经验要求,学历要求,公司名称
智联,计算机,计算机教师,4000-5000元,哈尔滨·香坊·幸福镇,3-5年,本科,立即投递收藏
智联,计算机,专业技术岗（计算机通信/监控）,150-200元/天,克孜勒苏柯尔克孜·阿合奇县·哈拉奇乡,经验不限,本科,立即投递收藏
智联,计算机,计算机软件编程助理,4000-5000元,合肥,经验不限,大专,立即投递收藏
智联,计算机,计算机运维,1-1.3万·13薪,武汉·青山,经验不限,高中,立即投递收藏
智联,计算机,计算机等级老师,3000-5000元,邯郸·邯山区·罗城头街道,3-5年,大专,立即投递收藏
智联,计算机,大专计算机教师,4000-6000元,哈尔滨·阿城·料甸,3-5年,硕士,立即投递收藏
智联,计算机,python工程师/算法工程师,9000-15000元,重庆·渝北,1-3年,学历不限,立即投递收藏
智联,计算机,计算机专业教师+管住五险,4000-8000元,郑州·中牟·姚家,经验不限,大专,立即投递收藏
智联,计算机,计算机专业教师,4000-8000元,临沂·河东·九曲,1-3年,本科,立即投递收藏
智联,计算机,计算机技术员,6000-10000元,杭州·滨江·西兴,1-3年,大专,立即投递收藏
智联,计算机,诚聘计算机IT运维工程技术人员,4000-8000元,吉安·遂川县·枚江镇,经验不限,大专,立即投递收藏
智联,计算机,计算机科学与技术教师,5000-10000元,廊坊·广阳区,经验不限,硕士,立即投递收藏
智联,计算机,计算机网络技术教师,6000-8000元,烟台·芝罘·黄务,3-5年,本科,立即投递收藏
智联,计算机,计算机教师,5000-7000元,长沙·浏阳·永安,1-3年,本科,立即投递收藏
智联,计算机,计算机维护工程师,6000-12000元,南京·建邺·南苑,经验不限,本科,立即投递收藏
智联,计算机,计算机专员,3000-5000元,石家庄·振头,经验不限,学历不限,立即投递收藏
智联,计算机,运维计算机工程师,1-1.2万·13薪,长沙·雨花·荷花园,经验不限,中专/中技,立即投递收藏
智联,计算机,计算机维修养护,7000-8000元,广州·海珠·凤阳,1-3年,大专,立即投递收藏
智联,计算机,计算机维修,3000-4000元,淄博·张店区·四宝山街道,经验不限,大专,立即投递收藏
智联,计算机,计算机应用专业老师,3000-5000元,石家庄·藁城·石家庄经开区,3-5年,本科,立即投递收藏
智联,计算机,计算机工程师,7000-12000元,武汉·江汉·北湖街,经验不限,大专,立即投递收藏
智联,计算机,机器人编程计算机指导师,3000-6000元,开封·龙亭区·新城街道,经验不限,大专,立即投递收藏
智联,计算机,计算机硬件工程师,150-200元/天,天津·滨海新区·北塘,经验不限,大专,立即投递收藏
智联,计算机,计算机硬件工程师助理,6000-9000元,石家庄·长安·西兆通,经验不限,大专,立即投递收藏
智联,计算机,计算机技术员,7000-9000元,深圳·龙华·龙华,经验不限,大专,立即投递收藏
智联,计算机,计算机考级老师,3000-5000元,邯郸·邯山区·罗城头街道,3-5年,大专,立即投递收藏
智联,计算机,单招计算机老师,4000-5000元,石家庄·长安·西兆通,1-3年,大专,立即投递收藏
智联,计算机,计算机技术员,8000-13000元·13薪,杭州·滨江·西兴,经验不限,大专,立即投递收藏
智联,计算机,语 数 英 机电 医护 计算机 财税 电商 体育 数媒 艺术,6000-9000元,青岛·即墨·通济,1-3年,本科,立即投递收藏
