job_name,city,education,work_exp,company,salary_avg,data_source
AFC设备维护保养,北京,大专,无需经验,河北永固盾卫安防科技,9000,前程无忧
爬虫工程师,北京,大专,3年及以上,北京法宣在线科技,11500,前程无忧
站内AFC检修师/五险双休,北京,,无需经验,石家庄捷轨智能科技,8000,前程无忧
软件测试（双休）,北京,大专,无需经验,北京屿博智能科技,10000,前程无忧
后端开发工程师,北京,本科,3年及以上,中国检验认证集团山东,17500,前程无忧
专线解决方案客户经理,北京,大专,3年及以上,安徽瑞合大数据科技,16000,前程无忧
初级软件工程师,北京,本科,无需经验,北京蜜熊科技,8000,前程无忧
C++开发工程师,北京,本科,2年及以上,北京中安智能信息科技,24000,前程无忧
销售经理（药企信息化软件）,北京,本科,1年及以上,源资信息科技（上海）,13500,前程无忧
项目经理,北京,本科,1-3年,北京察观科技,20000,前程无忧
数据分析,北京,大专,无需经验,北京中瓴时代科技,10000,前程无忧
嵌入式软件开发工程师-Linux C,北京,本科,2年及以上,北京华信傲天网络技术,12000,前程无忧
客户经理,北京,本科,1年及以上,万得信息技术,12000,前程无忧
装配工程师,北京,本科,无需经验,内蒙古朝正机械设备,8000,前程无忧
游戏开发工程师,北京,本科,1-3年,上海学获帮教育科技,15500,前程无忧
Qt软件工程师,北京,本科,3年及以上,柏宜照明（上海）,16500,前程无忧
互联网通讯(双休）,北京,大专,无需经验,安阳创凌信息科技,10000,前程无忧
业务咨询顾问（财务信息化）,北京,本科,5年及以上,北京久其软件,20000,前程无忧
软件测试工程师应届生本科双休,北京,本科,无需经验,河南芯码智能科技,10500,前程无忧
数据开发岗,北京,本科,5年及以上,前锦网络信息技术（上海）,25000,前程无忧
初级自动化测试工程师,北京,大专,无需经验,四川非凡网毅科技,7500,前程无忧
销售代表,北京,本科,3年及以上,东信和平科技,20000,前程无忧
研究所机构销售经理,北京,硕士,2年及以上,开源证券,20000,前程无忧
技术助理,北京,大专,无需经验,中鼎海桥机电设备（北京）,5500,前程无忧
打印机维修工程师,北京,初中及以下,无需经验,北京华宇北创科技,6000,前程无忧
专利代理师,北京,本科,1年及以上,北京博思佳知识产权代理,22500,前程无忧
大数据开发工程师,北京,本科,2-8年,北京弈云网络科技,33000,前程无忧
产品装配操作,北京,大专,无需经验,北京中科航天人才服务,9000,前程无忧
高级大数据架构师（北京）,北京,本科,5年及以上,凯通科技,25000,前程无忧
运营商销售经理-北京,北京,本科,3年及以上,广东广信通信服务,23500,前程无忧
AI软件开发部经理,北京,硕士,5年及以上,重庆天如生物科技,45000,前程无忧
机房运维,北京,大专,无需经验,山东凯恩人力资源,10000,前程无忧
测试工程师,北京,大专,无需经验,北京京铭宏硕科技,8000,前程无忧
电机电磁仿真工程师,北京,本科,1年及以上,合肥有感科技,16500,前程无忧
企业智能化管理设计师,北京,本科,3年及以上,北京机电工程研究所,75000,前程无忧
仿真验证工程师（SOC方向）,北京,本科,3年及以上,芯昇科技,22500,前程无忧
bim工程师,北京,本科,1年及以上,广州大发大资科技,14000,前程无忧
测试工程师,北京,大专,无需经验,北京中瓴时代科技,8500,前程无忧
